TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,AUX_LEFT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-02-26 21:02:13.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected MuseS-5DE7
2024-02-26 21:02:40.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-02-26 21:02:40.837,0,0.1845872062971014,0.05453171892962699,0,0,-0.1635252365085074,-0.08615939833303408,0,0,0.09377769407049466,0.07383843240684958,0,0,-0.1565207747651541,-0.02626562579784332,0,0,-0.458693290492963,-0.4467071495966253,0,600.7692307692308,799.4139194139194,742.6007326007326,583.8461538461538,0,0,-0.129028,0.011963,1.005981,4.358978,-1.614990,2.908478,1,4,1,1,4,45.000000
2024-02-26 21:02:41.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-02-26 21:02:41.837,0,0.8873861766502809,0.2601755426682044,0,0,0.4711417431154852,-0.1922486305722697,0,0,0.1206828638081045,0.04569801032401829,0,0,-0.03833470268625181,-0.05441009414190879,0,0,-0.2914520053998619,-0.3067346366841296,0,0,795.3846153846154,800.2197802197802,69.70695970695971,883.2234432234433,691.025641025641,-0.125000,0.014282,1.009644,6.340332,-2.228088,5.802002,1,4,1,1,4,45.000000
2024-02-26 21:02:42.844,0,0.7474442007287591,-0.1685186021683618,0,0,0.4350282082643043,-0.6865986864204754,0,0,-0.007677933407088926,-0.07132122625675744,0,0,0.1105643683213553,-0.2527802012849072,0,0,-0.3871977793065691,-0.6026376678101688,0,1537.179487179487,807.4725274725275,799.4139194139194,1542.820512820513,744.6153846153846,590.2930402930403,-0.140808,0.009949,1.012146,7.043152,-0.366364,4.134674,1,4,1,1,4,45.000000
2024-02-26 21:02:43.842,0,-0.5796381825398103,-0.2588124058878331,0,0,0.05915505717288835,-0.6367252239334069,0,0,-0.1098376036248167,-0.05115551156139971,0,0,0.03865427061536509,-0.1484651996009419,0,0,-0.4006856154021751,-0.5753225131872981,0,0,791.7582417582418,807.0695970695971,0,670.4761904761905,563.2967032967033,-0.148071,0.009766,1.002930,6.609497,-4.276733,6.415100,1,4,1,1,4,45.000000
2024-02-26 21:02:44.841,0,0.03017937295927456,-0.04177609928332193,0,0,-0.01895459109446079,-0.3869432095235278,0,0,0.06505479066162008,0.1163894636433298,0,0,0.0942516062140849,-0.04402968618189703,0,0,-0.3742448905175461,-0.574722453940794,0,0,807.4725274725275,802.6373626373627,0,1000.879120879121,790.952380952381,-0.144226,0.014221,0.999939,6.123505,-1.719666,5.525360,1,4,1,1,4,45.000000
2024-02-26 21:02:45.837,0,-0.1724424328942564,-0.1613155930165473,0,0,-0.1454317314901734,-0.1805868438831088,0,0,0.06107145162713869,0.121671688262517,0,0,0.02882987571130738,-0.08142956643971941,0,0,-0.3828650424116515,-0.502388556626023,0,0,796.996336996337,794.1758241758242,0,657.985347985348,451.6849816849817,-0.154663,0.017151,0.997986,6.415100,-1.764526,5.562744,1,4,1,1,4,45.000000
2024-02-26 21:02:45.980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-02-26 21:02:46.836,0,-0.1982018562514575,0.2529970780552822,0,0,-0.1519361086201186,-0.1608578103195833,0,0,0.07297229408669213,0.1518270029703134,0,0,-0.06725402289756033,0.004938355382877803,0,0,-0.2595645041435064,-0.4370683755666828,0,4.835164835164836,796.1904761904763,797.8021978021978,0,770,637.032967032967,-0.151733,0.027161,0.998596,5.816956,-2.714081,5.480499,1,4,1,1,4,45.000000
